model,scenario,experiment_part,year,tas_anomaly_K
gfdl-esm4,ssp245,historical,1850,-0.09540195031144094
gfdl-esm4,ssp245,historical,1851,-0.15172355667993997
gfdl-esm4,ssp245,historical,1852,0.026972898775966314
gfdl-esm4,ssp245,historical,1853,0.06089413246644426
gfdl-esm4,ssp245,historical,1854,-0.11384702924544854
gfdl-esm4,ssp245,historical,1855,-0.17538690822743774
gfdl-esm4,ssp245,historical,1856,0.00011683047335964147
gfdl-esm4,ssp245,historical,1857,0.05860220460300525
gfdl-esm4,ssp245,historical,1858,-0.07827714091416738
gfdl-esm4,ssp245,historical,1859,-0.03135307758299177
gfdl-esm4,ssp245,historical,1860,-0.1025607339539647
gfdl-esm4,ssp245,historical,1861,-0.17997923408222505
gfdl-esm4,ssp245,historical,1862,-0.1577213081174591
gfdl-esm4,ssp245,historical,1863,-0.14116317258833533
gfdl-esm4,ssp245,historical,1864,-0.013448450612258966
gfdl-esm4,ssp245,historical,1865,0.05535286211130597
gfdl-esm4,ssp245,historical,1866,0.04429862507976168
gfdl-esm4,ssp245,historical,1867,0.02296293923166104
gfdl-esm4,ssp245,historical,1868,-0.044861944127148945
gfdl-esm4,ssp245,historical,1869,-0.0033918583136482994
gfdl-esm4,ssp245,historical,1870,0.006491026531421085
gfdl-esm4,ssp245,historical,1871,0.0003289035025204612
gfdl-esm4,ssp245,historical,1872,0.0479720083446864
gfdl-esm4,ssp245,historical,1873,-0.030360744023766983
gfdl-esm4,ssp245,historical,1874,0.05956488576441643
gfdl-esm4,ssp245,historical,1875,0.05623718737018635
gfdl-esm4,ssp245,historical,1876,-0.03401285670042853
gfdl-esm4,ssp245,historical,1877,-0.020400248613782423
gfdl-esm4,ssp245,historical,1878,-0.01679614716431388
gfdl-esm4,ssp245,historical,1879,0.1317935805178081
gfdl-esm4,ssp245,historical,1880,-0.011607662255812556
gfdl-esm4,ssp245,historical,1881,-0.0353486562157741
gfdl-esm4,ssp245,historical,1882,-0.10626684645734485
gfdl-esm4,ssp245,historical,1883,-0.01255683815526254
gfdl-esm4,ssp245,historical,1884,-0.3497888426840632
gfdl-esm4,ssp245,historical,1885,-0.2858373580020839
gfdl-esm4,ssp245,historical,1886,-0.17439178353572515
gfdl-esm4,ssp245,historical,1887,-0.12819607452593118
gfdl-esm4,ssp245,historical,1888,0.05914200438036232
gfdl-esm4,ssp245,historical,1889,0.1338211612210216
gfdl-esm4,ssp245,historical,1890,0.05027429809462092
gfdl-esm4,ssp245,historical,1891,0.058991491717847566
gfdl-esm4,ssp245,historical,1892,0.05141656826805274
gfdl-esm4,ssp245,historical,1893,0.11702789052469598
gfdl-esm4,ssp245,historical,1894,0.12949053723247061
gfdl-esm4,ssp245,historical,1895,0.16292262955846581
gfdl-esm4,ssp245,historical,1896,0.21267835320276163
gfdl-esm4,ssp245,historical,1897,0.20090186029989354
gfdl-esm4,ssp245,historical,1898,0.14584957816856559
gfdl-esm4,ssp245,historical,1899,0.2802690139496917
gfdl-esm4,ssp245,historical,1900,0.3203069517000472
gfdl-esm4,ssp245,historical,1901,0.13632091111975342
gfdl-esm4,ssp245,historical,1902,0.09872895444306096
gfdl-esm4,ssp245,historical,1903,-0.015979074907761515
gfdl-esm4,ssp245,historical,1904,0.2343684505410124
gfdl-esm4,ssp245,historical,1905,0.22688547418903227
gfdl-esm4,ssp245,historical,1906,0.1636997241130871
gfdl-esm4,ssp245,historical,1907,0.17941172531658367
gfdl-esm4,ssp245,historical,1908,0.18755427405972114
gfdl-esm4,ssp245,historical,1909,0.32836576500648107
