scenario,year,n_models,mmm_K,std_K
ssp370,1850,1,-0.05288982386321095,
ssp370,1851,1,-0.04479966710022154,
ssp370,1852,1,0.04306578065944677,
ssp370,1853,1,0.10457507390032106,
ssp370,1854,1,0.03140865010254856,
ssp370,1855,1,-0.1037665160532697,
ssp370,1856,1,0.08593843165834869,
ssp370,1857,1,0.1079021266909308,
ssp370,1858,1,0.08814335182091781,
ssp370,1859,1,0.12041401504228588,
ssp370,1860,1,0.039187612727630494,
ssp370,1861,1,0.14036686616265115,
ssp370,1862,1,0.06367940105553771,
ssp370,1863,1,0.0867034997478413,
ssp370,1864,1,0.07391652011966698,
ssp370,1865,1,-0.10070764891520412,
ssp370,1866,1,-0.025090581658957944,
ssp370,1867,1,-0.014315174540854514,
ssp370,1868,1,-0.04331210430120791,
ssp370,1869,1,-0.21427624265197664,
ssp370,1870,1,-0.3119035772960501,
ssp370,1871,1,-0.14769021430396378,
ssp370,1872,1,0.11487344409118805,
ssp370,1873,1,0.15558480591045054,
ssp370,1874,1,-0.043125624736035206,
ssp370,1875,1,-0.07662652177253904,
ssp370,1876,1,-0.048166742000603335,
ssp370,1877,1,0.07981585343787856,
ssp370,1878,1,0.21579971869260817,
ssp370,1879,1,0.02359627742345083,
ssp370,1880,1,0.030332812903566264,
ssp370,1881,1,-0.036925926860305935,
ssp370,1882,1,0.036794812897596785,
ssp370,1883,1,0.07744914734092845,
ssp370,1884,1,-0.21771293572015793,
ssp370,1885,1,-0.24653206265071503,
ssp370,1886,1,-0.18379762264203237,
ssp370,1887,1,-0.09187083034458965,
ssp370,1888,1,0.06305316027209074,
ssp370,1889,1,0.027143859282830363,
ssp370,1890,1,-0.017071615734096213,
ssp370,1891,1,0.18490590647678573,
ssp370,1892,1,0.17720233310313915,
ssp370,1893,1,-0.105363147967239,
ssp370,1894,1,-0.0525635296243081,
ssp370,1895,1,0.011952928678908847,
ssp370,1896,1,0.07871866622247126,
ssp370,1897,1,-0.03291357260644645,
ssp370,1898,1,0.010440801835727598,
ssp370,1899,1,-0.06795210762322768,
ssp370,1900,1,0.006407932709862507,
ssp370,1901,1,-0.13999135762372816,
ssp370,1902,1,-0.022938542277927354,
ssp370,1903,1,-0.026512789937271464,
ssp370,1904,1,-0.13519348238372686,
ssp370,1905,1,-0.0799286943771449,
ssp370,1906,1,-0.0995679949079431,
ssp370,1907,1,0.06456215418074862,
ssp370,1908,1,0.02518245938108521,
ssp370,1909,1,-0.02464437009410858,
ssp370,1910,1,-0.04942945666527976,
ssp370,1911,1,-0.00750424583941367,
ssp370,1912,1,-0.07356175853971081,
ssp370,1913,1,-0.00171495503764163,
ssp370,1914,1,0.10655213803767083,
ssp370,1915,1,0.1234956757966188,
ssp370,1916,1,-0.00024230863112961742,
ssp370,1917,1,-0.08918900372543703,
ssp370,1918,1,0.008930152926552637,
ssp370,1919,1,0.12881084665667686,
ssp370,1920,1,0.028305210183646068,
ssp370,1921,1,-0.10861911751499065,
ssp370,1922,1,-0.10213281136822161,
ssp370,1923,1,-0.07083119621398737,
ssp370,1924,1,0.07622542980112712,
ssp370,1925,1,0.07080626850108729,
ssp370,1926,1,0.043078557123749306,
ssp370,1927,1,-0.09512408405072392,
ssp370,1928,1,-0.02016328935059164,
ssp370,1929,1,-0.026028732699501234,
ssp370,1930,1,0.06777893226075093,
ssp370,1931,1,-0.10224684566310316,
ssp370,1932,1,-0.07711300015546385,
ssp370,1933,1,-0.05612679992560743,
ssp370,1934,1,-0.10861479667613594,
ssp370,1935,1,-0.061595895563641534,
ssp370,1936,1,0.07290232339153135,
ssp370,1937,1,-0.20521837070020865,
ssp370,1938,1,-0.21407023512733758,
ssp370,1939,1,-0.0443142530990599,
ssp370,1940,1,-0.1433082633997742,
ssp370,1941,1,-0.07494876195494271,
ssp370,1942,1,0.09461211617627896,
ssp370,1943,1,-0.09895924869954342,
ssp370,1944,1,0.032246204011016744,
ssp370,1945,1,-0.11264986171767077,
ssp370,1946,1,-0.05728850226347504,
ssp370,1947,1,0.05481315636666295,
ssp370,1948,1,0.011425580668969815,
ssp370,1949,1,-0.1668104434912152,
ssp370,1950,1,-0.21143854843614918,
ssp370,1951,1,-0.20547743968040777,
ssp370,1952,1,-0.13083276185636805,
ssp370,1953,1,-0.08379800956777217,
ssp370,1954,1,0.1864505071650342,
ssp370,1955,1,0.019877875902295727,
ssp370,1956,1,0.07313123096781737,
ssp370,1957,1,0.031416803969420926,
ssp370,1958,1,0.10936971309087085,
ssp370,1959,1,-0.02417804953876157,
ssp370,1960,1,-0.028714110046166752,
ssp370,1961,1,-0.10655142890607294,
ssp370,1962,1,0.052577643865390655,
ssp370,1963,1,-0.17341312523166152,
ssp370,1964,1,-0.4548379181518385,
ssp370,1965,1,-0.26060809750708813,
ssp370,1966,1,-0.1625005495382652,
ssp370,1967,1,-0.32922283656722584,
ssp370,1968,1,-0.46352094805337174,
ssp370,1969,1,-0.3825018834605203,
ssp370,1970,1,-0.25499940839898727,
ssp370,1971,1,-0.33858406569493127,
ssp370,1972,1,-0.3375801509965868,
ssp370,1973,1,-0.34061731154247354,
ssp370,1974,1,-0.3561665507616567,
ssp370,1975,1,-0.22781517523077355,
ssp370,1976,1,-0.19528905386999895,
ssp370,1977,1,-0.23312623026544088,
ssp370,1978,1,-0.13525521657459194,
ssp370,1979,1,-0.21311515687165183,
ssp370,1980,1,-0.261475517523877,
ssp370,1981,1,-0.14088540046896014,
