scenario,year,n_models,mmm_K,std_K
ssp126,1850,5,-0.0654294586361516,0.36327909330484215
ssp126,1851,5,0.07851782000733465,0.25659248858649736
ssp126,1852,5,-0.08474122625971177,0.23576042692224466
ssp126,1853,5,0.01699106408473199,0.11174036725221648
ssp126,1854,5,-0.005318036661901715,0.10435174131041408
ssp126,1855,5,-0.18411396581517464,0.23379968930148268
ssp126,1856,5,-0.03374547726053834,0.37645332347627364
ssp126,1857,5,0.11017569068211515,0.06849291782217608
ssp126,1858,5,0.08503455679540366,0.15260785823659603
ssp126,1859,5,0.06180517403847716,0.2900083587261904
ssp126,1860,5,0.029164802556874748,0.23008612858020397
ssp126,1861,5,0.04626369498805616,0.1903058110215203
ssp126,1862,5,-0.08912264262049803,0.14947104803175654
ssp126,1863,5,0.09997076288981362,0.24855022524663475
ssp126,1864,5,-0.059663964254218625,0.2811756967882068
ssp126,1865,5,-0.04928387508191463,0.10331907346286671
ssp126,1866,5,-0.19101802792798708,0.35194171553264236
ssp126,1867,5,-0.006621708479917743,0.13466416220156333
ssp126,1868,5,0.07217365483838875,0.1621466650223744
ssp126,1869,5,0.02668997831978004,0.2847119893385025
ssp126,1870,5,-0.03088600382898221,0.13630846654314832
ssp126,1871,5,0.09233098679186469,0.21831643513330135
ssp126,1872,5,0.25829842623946886,0.15798490451701
ssp126,1873,5,-0.050071143472473524,0.1829024300421445
ssp126,1874,5,-0.02271005044985941,0.15894193624245276
ssp126,1875,5,0.09206650174056677,0.20511288646926312
ssp126,1876,5,0.10666980351863913,0.30254465644716316
ssp126,1877,5,-0.05390671228926749,0.1718282479131213
ssp126,1878,5,-0.021293041882472608,0.1111956371243167
ssp126,1879,5,-0.022681607230731517,0.13063070859509143
ssp126,1880,5,0.12629595753232933,0.1938486660144797
ssp126,1881,5,0.12371207307372742,0.10027315012414122
ssp126,1882,5,-0.040701354419923064,0.11820450970251126
ssp126,1883,5,0.13684580534064708,0.28185473703602165
ssp126,1884,5,-0.19861433020083724,0.09117595687818357
ssp126,1885,5,-0.3121384821464289,0.27042790545423584
ssp126,1886,5,-0.15967640837029648,0.11217055629396158
ssp126,1887,5,-0.030167473106087073,0.1526239249791637
ssp126,1888,5,-0.0979507268941802,0.321202205034478
ssp126,1889,5,-0.1636740140119855,0.20921747315048644
ssp126,1890,5,-0.13385031250188603,0.24599721611487496
ssp126,1891,5,-0.1770737159567716,0.22210068327811755
ssp126,1892,5,0.0355212998407751,0.19362696196997214
ssp126,1893,5,0.016929907289966194,0.19451949999434603
ssp126,1894,5,0.2281397805291249,0.11943132686442745
ssp126,1895,5,0.10377105498762376,0.14616897833381812
ssp126,1896,5,0.15024957125880292,0.14104924544441533
ssp126,1897,5,0.04115937816419546,0.2273365639501095
ssp126,1898,5,-0.01758631013946115,0.3026696519088392
ssp126,1899,5,0.08207998844063695,0.180175400777317
ssp126,1900,5,0.08118233595059791,0.1308040950522165
ssp126,1901,5,-0.05295825711909856,0.24806503962188717
ssp126,1902,5,0.1735667165363907,0.22024970408516611
ssp126,1903,5,-0.28129233566368156,0.2975953518821322
ssp126,1904,5,-0.18307078122943493,0.2065688349325702
ssp126,1905,5,0.06621836127521874,0.1781026264369904
ssp126,1906,5,0.1382942477454435,0.1429831164333183
